acceptance_criterion,status,evidence
Credit Risk / Lending Risk project is clear,Done,"README.md, website case study, business context"
Target definition is clear,Done,"reports/01_population_target_summary.csv, docs/model_card.md"
Observation/performance window is documented,Done,docs/methodology_note.md
Matured account logic is implemented,Done,"matured_flag, monitor_only_flag, formula test cases"
Leakage checklist is documented,Done,"docs/validation_checklist.md, project3_feature_eligibility_matrix.csv"
Reject inference limitation is explicit,Done,reports/11_reject_inference_sensitivity.csv
"PD, LGD, EAD, EL are available",Done with proxy assumptions,reports/09_expected_loss_by_risk_grade.csv
"WOE, IV, odds and log odds are available",Done,"reports/03_woe_iv_variable_summary.csv, docs/formula_dictionary.md"
Scorecard and score bands are available,Done,reports/05_score_band_summary.csv
Credit decision rules are available,Done,"reports/08_cutoff_strategy.csv, reports/27_override_policy_simulation.csv"
Expected loss by segment is available,Done,"reports/09_expected_loss_by_risk_grade.csv, reports/25_concentration_risk_by_segment.csv"
"AUC, KS, Gini, Brier are available",Done,reports/06_validation_metrics.csv
Enriched scorecard and logistic challenger are available,Done,reports/36_challenger_model_comparison.csv
Calibration gap is available,Done,reports/07_calibration_by_decile.csv
PSI is available,Done,reports/10_monitoring_psi.csv
Vintage analysis is available,Done,reports/19_vintage_analysis.csv
Roll-rate matrix is available,Framework only,reports/20_roll_rate_framework_matrix.csv; monthly DPD unavailable
IFRS 9 ECL bridge is available,Bridge only,reports/21_ifrs9_ecl_bridge.csv
Stress testing is available,Done with proxy assumptions,reports/22_stress_testing_scenarios.csv
Risk-based pricing is available,Done with assumptions,reports/23_risk_based_pricing_by_grade.csv
Governance and limitation pack is available,Done,"docs/governance_and_limitations.md, reports/26_model_monitoring_triggers.csv"
README can be read within 60 seconds,Done,README.md
Interview story is available,Done,"docs/interview_story.md, docs/final_recruiter_interview_pack.md"
